k,acc,bias,ppl,delta_acc,delta_bias,delta_ppl,delta_score
0.1,0.3166930379746835,0.6593644504574153,8.726774014364466,-0.07362035233870678,0.269051060144025,2.1720670496768024,-0.3426714124827318
0.2,0.3166930379746835,0.658429868303286,8.736107295516385,-0.07362035233870678,0.2681164779898957,2.1814003308287218,-0.34173683032860247
0.35,0.3122784810126582,0.6609860686493852,8.739219351016148,-0.07803490930073209,0.27067267833599495,2.1845123863284845,-0.34870758763672705
0.5,0.3147784810126582,0.6598983700554052,8.724694881011562,-0.07553490930073209,0.2695849797420149,2.1699879163238984,-0.345119889042747
0.75,0.31352848101265823,0.6598858072413349,8.726840622563515,-0.07678490930073206,0.26957241692794465,2.172133657875851,-0.3463573262286767
1.0,0.3122784810126582,0.6622906462693212,8.73548321163073,-0.07803490930073209,0.2719772559559309,2.180776246943066,-0.350012165256663
