{'loss': '5.848', 'grad_norm': '0.8782', 'learning_rate': '0.0007432', 'epoch': '2.574'}
{'loss': '6.054', 'grad_norm': '0.7501', 'learning_rate': '0.000739', 'epoch': '2.615'}
{'loss': '5.994', 'grad_norm': '0.889', 'learning_rate': '0.0007349', 'epoch': '2.657'}
{'loss': '5.812', 'grad_norm': '0.8489', 'learning_rate': '0.0007307', 'epoch': '2.699'}
{'loss': '18.64', 'grad_norm': '2.438', 'learning_rate': '0.0007266', 'epoch': '2.74'}
{'loss': '5.869', 'grad_norm': '1.11', 'learning_rate': '0.0007224', 'epoch': '2.782'}
{'loss': '5.793', 'grad_norm': '0.8311', 'learning_rate': '0.0007183', 'epoch': '2.823'}
{'loss': '6.119', 'grad_norm': '1215', 'learning_rate': '0.0007141', 'epoch': '2.865'}
{'loss': '5.847', 'grad_norm': '0.9067', 'learning_rate': '0.00071', 'epoch': '2.906'}
{'loss': '5.657', 'grad_norm': '0.7549', 'learning_rate': '0.0007058', 'epoch': '2.948'}
{'loss': '5.783', 'grad_norm': '0.7982', 'learning_rate': '0.0007017', 'epoch': '2.99'}
{'loss': '5.659', 'grad_norm': '1.058', 'learning_rate': '0.0006975', 'epoch': '3.029'}
{'loss': '5.792', 'grad_norm': '0.6954', 'learning_rate': '0.0006934', 'epoch': '3.071'}
{'loss': '5.74', 'grad_norm': '0.6983', 'learning_rate': '0.0006892', 'epoch': '3.112'}
{'loss': '5.584', 'grad_norm': '0.7347', 'learning_rate': '0.0006851', 'epoch': '3.154'}
{'loss': '5.795', 'grad_norm': '0.6786', 'learning_rate': '0.0006809', 'epoch': '3.195'}
{'loss': '5.687', 'grad_norm': '0.7487', 'learning_rate': '0.0006768', 'epoch': '3.237'}
{'loss': '5.776', 'grad_norm': '0.8165', 'learning_rate': '0.0006726', 'epoch': '3.279'}
{'loss': '5.53', 'grad_norm': '0.8719', 'learning_rate': '0.0006685', 'epoch': '3.32'}
{'loss': '5.614', 'grad_norm': '4.178', 'learning_rate': '0.0006643', 'epoch': '3.362'}
{'loss': '5.776', 'grad_norm': '0.6644', 'learning_rate': '0.0006602', 'epoch': '3.403'}
{'loss': '5.556', 'grad_norm': '0.8311', 'learning_rate': '0.000656', 'epoch': '3.445'}
{'loss': '5.683', 'grad_norm': '0.7859', 'learning_rate': '0.0006519', 'epoch': '3.486'}
{'loss': '5.516', 'grad_norm': '0.784', 'learning_rate': '0.0006477', 'epoch': '3.528'}
{'loss': '5.513', 'grad_norm': '0.7134', 'learning_rate': '0.0006436', 'epoch': '3.57'}
{'loss': '5.593', 'grad_norm': '1.295', 'learning_rate': '0.0006394', 'epoch': '3.611'}
{'loss': '5.568', 'grad_norm': '0.749', 'learning_rate': '0.0006353', 'epoch': '3.653'}
{'loss': '5.402', 'grad_norm': '0.7347', 'learning_rate': '0.0006311', 'epoch': '3.694'}
{'loss': '5.322', 'grad_norm': '0.8427', 'learning_rate': '0.000627', 'epoch': '3.736'}
{'loss': '5.497', 'grad_norm': '0.7944', 'learning_rate': '0.0006228', 'epoch': '3.778'}
{'loss': '5.368', 'grad_norm': '0.6655', 'learning_rate': '0.0006187', 'epoch': '3.819'}
{'loss': '5.292', 'grad_norm': '0.9528', 'learning_rate': '0.0006145', 'epoch': '3.861'}
{'loss': '5.598', 'grad_norm': '0.8452', 'learning_rate': '0.0006104', 'epoch': '3.902'}
{'loss': '5.301', 'grad_norm': '0.725', 'learning_rate': '0.0006062', 'epoch': '3.944'}
{'loss': '5.349', 'grad_norm': '0.8408', 'learning_rate': '0.0006021', 'epoch': '3.985'}
{'loss': '5.563', 'grad_norm': '4.745', 'learning_rate': '0.0005979', 'epoch': '4.025'}
{'loss': '5.611', 'grad_norm': '1.167', 'learning_rate': '0.0005938', 'epoch': '4.067'}
{'loss': '5.281', 'grad_norm': '1.297', 'learning_rate': '0.0005896', 'epoch': '4.108'}
{'loss': '5.218', 'grad_norm': '0.7413', 'learning_rate': '0.0005855', 'epoch': '4.15'}
{'loss': '5.439', 'grad_norm': '0.7572', 'learning_rate': '0.0005813', 'epoch': '4.191'}
{'loss': '5.519', 'grad_norm': '0.7388', 'learning_rate': '0.0005772', 'epoch': '4.233'}
{'loss': '5.343', 'grad_norm': '0.8259', 'learning_rate': '0.000573', 'epoch': '4.274'}
{'loss': '5.324', 'grad_norm': '1.495e+13', 'learning_rate': '0.0005689', 'epoch': '4.316'}
{'loss': '5.552', 'grad_norm': '2.17e+05', 'learning_rate': '0.0005647', 'epoch': '4.358'}
{'loss': '6.963', 'grad_norm': '1.055e+07', 'learning_rate': '0.0005606', 'epoch': '4.399'}
{'loss': '5.506', 'grad_norm': '18.48', 'learning_rate': '0.0005564', 'epoch': '4.441'}
{'loss': '5.834', 'grad_norm': '2.614e+04', 'learning_rate': '0.0005523', 'epoch': '4.482'}
{'loss': '5.687', 'grad_norm': '0.8661', 'learning_rate': '0.0005481', 'epoch': '4.524'}
{'loss': '5.458', 'grad_norm': '2275', 'learning_rate': '0.000544', 'epoch': '4.565'}
{'loss': '5.478', 'grad_norm': '0.8087', 'learning_rate': '0.0005398', 'epoch': '4.607'}
{'loss': '5.335', 'grad_norm': '1.919e+15', 'learning_rate': '0.0005357', 'epoch': '4.649'}
{'loss': '5.333', 'grad_norm': '3.125e+13', 'learning_rate': '0.0005315', 'epoch': '4.69'}
{'loss': '5.221', 'grad_norm': '0.8163', 'learning_rate': '0.0005274', 'epoch': '4.732'}
{'loss': '5.337', 'grad_norm': '1.316e+12', 'learning_rate': '0.0005232', 'epoch': '4.773'}
{'loss': '5.152', 'grad_norm': '1.686e+13', 'learning_rate': '0.0005191', 'epoch': '4.815'}
{'loss': '5.393', 'grad_norm': '3.346e+13', 'learning_rate': '0.0005149', 'epoch': '4.857'}
{'loss': '5.367', 'grad_norm': '0.887', 'learning_rate': '0.0005108', 'epoch': '4.898'}
{'loss': '5.319', 'grad_norm': '7.236e+11', 'learning_rate': '0.0005066', 'epoch': '4.94'}
{'loss': '5.191', 'grad_norm': '7.596e+12', 'learning_rate': '0.0005025', 'epoch': '4.981'}
{'loss': '5.484', 'grad_norm': '0.8277', 'learning_rate': '0.0004983', 'epoch': '5.021'}
{'loss': '5.437', 'grad_norm': '2.375', 'learning_rate': '0.0004942', 'epoch': '5.062'}
{'loss': '5.402', 'grad_norm': '1.182', 'learning_rate': '0.00049', 'epoch': '5.104'}
{'loss': '5.337', 'grad_norm': '1.731e+14', 'learning_rate': '0.0004859', 'epoch': '5.146'}
{'loss': '5.249', 'grad_norm': '3.259e+14', 'learning_rate': '0.0004817', 'epoch': '5.187'}
{'loss': '5.471', 'grad_norm': '1.732', 'learning_rate': '0.0004776', 'epoch': '5.229'}
{'loss': '5.575', 'grad_norm': '0.9478', 'learning_rate': '0.0004734', 'epoch': '5.27'}
{'loss': '5.315', 'grad_norm': '3.585e+14', 'learning_rate': '0.0004693', 'epoch': '5.312'}
{'loss': '5.143', 'grad_norm': '2.47e+14', 'learning_rate': '0.0004651', 'epoch': '5.353'}
{'loss': '6.313', 'grad_norm': '3.545e+13', 'learning_rate': '0.000461', 'epoch': '5.395'}
{'loss': '5.969', 'grad_norm': '5.177e+14', 'learning_rate': '0.0004568', 'epoch': '5.437'}
{'loss': '5.483', 'grad_norm': '1.392e+15', 'learning_rate': '0.0004527', 'epoch': '5.478'}
{'loss': '7.041', 'grad_norm': 'nan', 'learning_rate': '0.0004485', 'epoch': '5.52'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004444', 'epoch': '5.561'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004402', 'epoch': '5.603'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004361', 'epoch': '5.644'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000432', 'epoch': '5.686'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004278', 'epoch': '5.728'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004237', 'epoch': '5.769'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004195', 'epoch': '5.811'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004154', 'epoch': '5.852'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004112', 'epoch': '5.894'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004071', 'epoch': '5.936'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0004029', 'epoch': '5.977'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003988', 'epoch': '6.017'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003946', 'epoch': '6.058'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003905', 'epoch': '6.1'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003863', 'epoch': '6.141'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003822', 'epoch': '6.183'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000378', 'epoch': '6.225'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003739', 'epoch': '6.266'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003697', 'epoch': '6.308'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003656', 'epoch': '6.349'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003614', 'epoch': '6.391'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003573', 'epoch': '6.432'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003531', 'epoch': '6.474'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000349', 'epoch': '6.516'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003448', 'epoch': '6.557'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003407', 'epoch': '6.599'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003365', 'epoch': '6.64'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003324', 'epoch': '6.682'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003282', 'epoch': '6.723'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003241', 'epoch': '6.765'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003199', 'epoch': '6.807'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003158', 'epoch': '6.848'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003116', 'epoch': '6.89'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003075', 'epoch': '6.931'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0003033', 'epoch': '6.973'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002992', 'epoch': '7.012'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000295', 'epoch': '7.054'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002909', 'epoch': '7.096'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002867', 'epoch': '7.137'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002826', 'epoch': '7.179'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002784', 'epoch': '7.22'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002743', 'epoch': '7.262'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002701', 'epoch': '7.304'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.000266', 'epoch': '7.345'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002618', 'epoch': '7.387'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002577', 'epoch': '7.428'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002535', 'epoch': '7.47'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002494', 'epoch': '7.511'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002452', 'epoch': '7.553'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002411', 'epoch': '7.595'}
{'loss': '0', 'grad_norm': 'nan', 'learning_rate': '0.0002369', 'epoch': '7.636'}
